{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.93, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:35'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 49.09, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:36'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.59, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:37'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.78, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:38'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.86, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:39'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 50.38, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:40'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.04, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:41'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 47.68, 'ROAM': 'FALSE', 'RSSI': '-61', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:42'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.9, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:43'}
{'SSID': 'Sandberg', 'BSSID': '9c:5d:12:22:f0:14', 'PACKETLOSS': 0, 'LAST_BSSID': '9c:5d:12:22:f0:14', 'TRANSMITRATE': 145.0, 'RTT': 48.05, 'ROAM': 'FALSE', 'RSSI': '-60', 'CHANNEL': '11', 'GMT': '2018-01-15 16:01:44'}
